kollektion;code;name;bedeutung;serie_key;typ;format_cm;fond;material;herstellung;special_typ;special_text;farben_hex_pantone;stimmungen;farbwelten;text_kurz;text_lang;bild_real_1500;bild_clean_1500;alt_text
campo;CAMPO 11;BLOCO;Portugiesisch: der Block;serie-2-cheio;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#2E4E7E 19-4030 TCX True Navy | #DDA13D 14-0952 TCX Spicy Mustard | #AE3A6C 18-2328 TCX Fuchsia Red | #DE7A40 16-1350 TCX Amberglow | #567F46 18-0119 TCX Willow Bough | #C0402E 18-1447 TCX Orange Rust;erdig kräftig;blau gelb rosa;Das architektonischste Stück: Sieben Blöcke teilen die Fläche wie ein Grundriss, ein einzelnes Vermelho-Quadrat setzt den Akzent.;Das architektonischste Stück der Kollektion: Sieben Blöcke teilen die Fläche wie ein Grundriss — großes Azulfeld, Ockerspur, Beere, Terracotta, Verde und zwei Linho-Kammern. Ein einzelnes kleines Vermelho-Quadrat setzt den Akzent, wie ein Möbel im leeren Raum. BLOCO lebt von der Proportion der Teilung und verträgt Formatänderungen besonders gut.;images-real/campo-11-bloco_real_1500.webp;images/campo-11-bloco_1500.webp;CAMPO 11 BLOCO — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 12;PÁTIO;Portugiesisch: der Innenhof;serie-2-cheio;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#7FA9B5 16-4411 TCX Tourmaline | #2E4E7E 19-4030 TCX True Navy | #C0402E 18-1447 TCX Orange Rust | #5C3A64 19-3542 TCX Purple Magic | #DDA13D 14-0952 TCX Spicy Mustard;kühl kräftig;blau rot;Geschachtelte Felder rücken zur Ecke, der Blick fällt wie in einen Innenhof. Der einzige Entwurf der Stammserien mit kühlem Grundklang.;"CANTO weitergedacht: Geschachtelte Felder rücken zur Ecke, der Blick fällt wie in einen Innenhof. Die kühlere Welt aus Himmel und Azul wird von Vermelho und Aubergine erwärmt; das Ockerquadrat oben links und das Linho-Band am Boden halten die Komposition offen. Der einzige Entwurf der Serie mit kühlem Grundklang — als Gegengewicht zur erdigen Palette.";images-real/campo-12-patio_real_1500.webp;images/campo-12-patio_1500.webp;CAMPO 12 PÁTIO — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 13;CLARÃO;Portugiesisch: der Lichtschein;serie-3-amanha;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#333F96 19-3951 TCX Clematis Blue | #C6B8D6 14-3812 TCX Pastel Lilac | #C7A091 15-1512 TCX Mahogany Rose | #E0752F 16-1164 TCX Orange Pepper | #2C4237 19-5920 TCX Pineneedle;kühl leise;blau lila;Die Colour of the Year 2027 auf Naturgrund: Luminous Blue als schwebende Hauptmasse, Lilac und Clay als ruhige Nachbarn, Energy Orange als Temperatur-Akzent.;Clarão — »der Lichtschein«. Die Colour of the Year 2027 auf Naturgrund: Luminous Blue als schwebende Hauptmasse, darunter Peaceful Lilac und Clay als ruhige Nachbarn, ein Feld Energy Orange als Temperatur-Akzent. Die feine Linie in Deep Green hält die Komposition. Der Entwurf zeigt, wie selbstverständlich sich die 2027-Töne in die CAMPO-Haltung der ersten Serie fügen.;images-real/campo-13-clarao_real_1500.webp;images/campo-13-clarao_1500.webp;CAMPO 13 CLARÃO — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 14;CAMPINA;Portugiesisch: die Wiese;serie-3-amanha;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#7CA377 16-6116 TCX Shale Green | #E4B54A 15-1050 TCX Golden Glow | #2C4237 19-5920 TCX Pineneedle | #E687B2 15-2216 TCX Sachet Pink | #8F4A33 18-1244 TCX Ginger Bread;erdig leise;gruen gelb;Meadowland Green als großes ruhiges Feld — Slow Living als Farbfeld. Maize antwortet sonnig, die Russet-Linie erdet.;Campina — »die Wiese«. Meadowland Green steht für das Bedürfnis nach Entschleunigung und Gemeinschaft, das WGSN für 2027 beschreibt — hier als großes, ruhiges Feld auf Naturgrund. Maize antwortet sonnig, ein kleines Pop-Pink-Quadrat setzt die strategische Freude dagegen, und die Russet-Linie erdet das Ganze. Der leiseste Entwurf der Serie.;images-real/campo-14-campina_real_1500.webp;images/campo-14-campina_1500.webp;CAMPO 14 CAMPINA — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 15;MARÉ;Portugiesisch: die Gezeiten;serie-3-amanha;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#333F96 19-3951 TCX Clematis Blue | #C6B8D6 14-3812 TCX Pastel Lilac | #E4B54A 15-1050 TCX Golden Glow | #C7A091 15-1512 TCX Mahogany Rose | #2C4237 19-5920 TCX Pineneedle;kühl kräftig;blau lila gelb;Die große blaue Masse: Luminous Blue besetzt zwei Drittel der Fläche, ein Maize-Quadrat leuchtet im Blau. Das Statement-Stück der Trendserie.;Maré — »die Gezeiten«. Die große blaue Masse: Luminous Blue besetzt zwei Drittel der Fläche, flankiert von Peaceful Lilac und einem schmalen Linho-Strich, der die Herkunft aus der Kollektion sichtbar hält. Clay und Deep Green schichten den Boden, ein Maize-Quadrat leuchtet im Blau. Das Statement-Stück der Serie — mysteriös und vielseitig, wie WGSN die Farbe des Jahres beschreibt.;images-real/campo-15-mare_real_1500.webp;images/campo-15-mare_1500.webp;CAMPO 15 MARÉ — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 16;POMAR;Portugiesisch: der Obstgarten;serie-3-amanha;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#E0752F 16-1164 TCX Orange Pepper | #E687B2 15-2216 TCX Sachet Pink | #E4B54A 15-1050 TCX Golden Glow | #8F4A33 18-1244 TCX Ginger Bread | #C7A091 15-1512 TCX Mahogany Rose;warm kräftig verspielt;rot rosa gelb;Die warme Seite von 2027: Energy Orange und Pop Pink oben, Maize, Russet und Clay unten. Fruchtig, dicht, optimistisch.;Pomar — »der Obstgarten«. Die warme Seite von 2027 auf einer Fläche: Energy Orange und Pop Pink teilen sich die obere Hälfte, Maize, Russet und Clay schichten die untere. Ein Deep-Green-Quadrat kühlt die Komposition an der rechten Kante. Fruchtig, dicht und optimistisch — der extrovertierteste Entwurf der Kollektion.;images-real/campo-16-pomar_real_1500.webp;images/campo-16-pomar_1500.webp;CAMPO 16 POMAR — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 17;HORA AZUL;Portugiesisch: die blaue Stunde;serie-3-amanha;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";schlingenflor;Die Maize-Linie läuft als Schlaufenlinie durch die glatten Horizonte.;#E7DECB 12-0703 TCX Seedpearl | #C6B8D6 14-3812 TCX Pastel Lilac | #333F96 19-3951 TCX Clematis Blue | #2C4237 19-5920 TCX Pineneedle | #E4B54A 15-1050 TCX Golden Glow;kühl leise;blau lila gelb;Vier Horizonte zur blauen Stunde: Linho, Lilac, Luminous Blue, Deep Green — durchbrochen von einer einzigen Maize-Linie wie ein letzter Lichtstrahl.;Hora Azul — »die blaue Stunde«. Vier Horizonte übereinander: Linho, Peaceful Lilac, Luminous Blue, Deep Green — der Abendhimmel als harte Farbfeld-Schichtung, durchbrochen von einer einzigen feinen Maize-Linie wie ein letzter Lichtstrahl. Der reduzierteste Entwurf der Serie und ihr poetischer Schlusspunkt.;images-real/campo-17-hora-azul_real_1500.webp;images/campo-17-hora-azul_1500.webp;CAMPO 17 HORA AZUL — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 18;LAPIS;Portugiesisch: Lapislazuli-Pigment;serie-4-elo;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#B7C1DA Zuordnung bei Garnbemusterung | #3A46A0 Zuordnung bei Garnbemusterung | #232E75 Zuordnung bei Garnbemusterung | #C7998C Zuordnung bei Garnbemusterung | #AD5527 Zuordnung bei Garnbemusterung;kühl tonal;blau;Die blaue Familie in drei Stufen auf Naturgrund — das tonale Prinzip von TERRA, jetzt in Blau. Ein Clay-Quadrat wärmt.;Lapis — nach dem Pigment, aus dem WGSN die Herkunft der Farbe des Jahres erzählt. Die blaue Familie in drei Stufen auf Naturgrund: Sirrus-Hell schwebt oben, das mittlere Mansilla-Blau trägt, das tiefe Topaz-Blau erdet. Ein Clay-Quadrat wärmt, die feine Linie in gebranntem Orange verbindet die Ebenen. Das tonale Prinzip von TERRA — jetzt in Blau.;images-real/campo-18-lapis_real_1500.webp;images/campo-18-lapis_1500.webp;CAMPO 18 LAPIS — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 19;BRASA;Portugiesisch: die Glut;serie-4-elo;Vollflächig;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#E7B58C Zuordnung bei Garnbemusterung | #E0752F 16-1164 TCX Orange Pepper | #AD5527 Zuordnung bei Garnbemusterung | #8A6F60 Zuordnung bei Garnbemusterung | #C7998C Zuordnung bei Garnbemusterung | #232E75 Zuordnung bei Garnbemusterung;warm kräftig;rot blau;Die Glut: Orange-Familie über Clay-Familie, ein tiefes Blau-Band schließt die Fläche. Ein Pop-Pink-Quadrat glimmt im Himmel.;Brasa — »die Glut«. Die Orange-Familie über der Clay-Familie: helles Apricot als weiter Himmel, darunter das Feld aus Lift-Off- und Egyptian-Queen-Orange, am Boden Podsol und Clay. Ein tiefes Blau-Band schließt die Fläche — die Verbindung der Temperaturen, die das 2027-Thema Interconnectedness fordert. Ein kleines Pop-Pink-Quadrat glimmt im Himmel.;images-real/campo-19-brasa_real_1500.webp;images/campo-19-brasa_1500.webp;CAMPO 19 BRASA — Vollflächig, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
campo;CAMPO 20;JARDIM;Portugiesisch: der Garten;serie-4-elo;Fond-Entwurf;200 × 300;Linho #E7DECB (12-0703 TCX Seedpearl), NZ-Wolle ungefärbt;100 % Neuseelandwolle, matt, ohne Glanzfasern;"handgetuftet (Standard); Specials wie abweichende Florhöhen, Schlingenflor oder Fransen nach individueller Besprechung";;;#BCC7A4 Zuordnung bei Garnbemusterung | #7CA377 16-6116 TCX Shale Green | #66794B Zuordnung bei Garnbemusterung | #EFD2D9 Zuordnung bei Garnbemusterung | #3A46A0 Zuordnung bei Garnbemusterung;leise erdig;gruen rosa;Der Garten: Grün-Familie als geschichtete Beete auf Naturgrund, ein zartes Rosa-Feld ruht rechts unten. Die blaue Linie hält alles zusammen.;Jardim — »der Garten«. Die Grün-Familie als geschichtete Beete auf Naturgrund: Coriander-Grün als Hauptfeld, Tangella-Hell und Olive-Tief als Nachbarn. Ein Feld in zartem Rosa ruht rechts unten — WGSN beschreibt Meadowland Green als Farbe der Rast, und genau das tut dieser Entwurf. Die blaue Linie hält die Komposition zusammen.;images-real/campo-20-jardim_real_1500.webp;images/campo-20-jardim_1500.webp;CAMPO 20 JARDIM — Fond-Entwurf, Teppichentwurf 200 × 300 cm, handgetuftet aus 100 % Neuseelandwolle, THE GREY Wanna Do Collection
